Simulation Results:
Method: CPU
Path check-points: 8
Rays per check-point: 1000
Total Hits: 1486
Total Rays: 8000
Hit Ratio: 18.5 %%
Total polygons: 902
Time [seconds]: 0.218
Time [millisec]: 217
Time [microsec]: 217501

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(0.382,0.468,-0.341) - 0.633
(-0.106,0.181,-0.683) - 0.633
(0.144,0.401,-0.815) - 0.633
(0.153,0.198,-0.701) - 0.633
(0.340,0.533,-0.222) - 0.634
(0.131,0.281,0.412) - 0.634
(0.239,0.487,0.324) - 0.635
(0.109,0.381,-0.787) - 0.635
(-0.105,0.457,-0.850) - 0.636
(0.350,0.594,0.178) - 0.637
(0.344,0.581,0.224) - 0.637
(0.112,0.134,-0.397) - 0.637
(-0.262,0.269,-0.161) - 0.638
(-0.068,0.388,-0.778) - 0.638
(0.142,0.348,-0.767) - 0.639
(0.113,0.406,-0.191) - 0.639
(-0.389,0.604,-0.507) - 0.639
(-0.164,0.134,-0.145) - 0.639
(0.422,0.618,-0.471) - 0.639
(0.079,0.419,-0.806) - 0.640
(-0.010,0.304,0.166) - 0.640
(0.113,0.441,-0.833) - 0.641
(0.011,0.346,-0.054) - 0.642
(-0.372,0.186,-0.256) - 0.643
(-0.356,0.589,0.193) - 0.643
(0.046,0.158,0.315) - 0.643
(-0.076,0.147,-0.587) - 0.644
(-0.335,0.582,-0.583) - 0.644
(-0.136,0.220,-0.690) - 0.644
(-0.148,0.441,-0.833) - 0.645
(-0.160,0.349,-0.760) - 0.645
(-0.066,0.486,-0.860) - 0.646
(-0.187,0.392,-0.010) - 0.647
(-0.027,0.272,0.200) - 0.647
(-0.131,0.135,0.393) - 0.647
(0.301,0.600,0.056) - 0.647
(-0.211,0.141,-0.683) - 0.648
(0.054,0.137,0.367) - 0.648
(0.144,0.469,-0.860) - 0.648
(-0.118,0.501,-0.885) - 0.649
(0.326,0.608,-0.023) - 0.649
(0.084,0.483,-0.857) - 0.650
(-0.048,0.454,-0.817) - 0.651
(0.374,0.627,-0.554) - 0.652
(0.299,0.558,0.285) - 0.652
(-0.091,0.338,-0.731) - 0.652
(0.262,0.201,0.258) - 0.652
(0.328,0.603,-0.079) - 0.653
(0.335,0.572,-0.185) - 0.653
