Simulation Results:
Method: CPU
Path check-points: 8
Rays per check-point: 1000
Total Hits: 2474
Total Rays: 8000
Hit Ratio: 30.9 %%
Total polygons: 20684
Time [seconds]: 4.178
Time [millisec]: 4178
Time [microsec]: 4178315

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(14.540,0.111,-4.006) - 0.652
(14.451,0.340,-3.746) - 0.652
(19.591,0.116,-3.051) - 0.652
(19.519,0.121,-2.839) - 0.652
(19.553,0.166,-2.939) - 0.653
(5.663,0.027,-5.615) - 0.653
(19.602,0.080,-3.082) - 0.654
(13.591,0.071,-4.445) - 0.654
(14.339,0.185,-3.420) - 0.655
(14.324,0.069,-3.376) - 0.655
(5.687,0.108,-5.686) - 0.655
(5.726,0.058,-5.799) - 0.655
(19.580,0.153,-3.019) - 0.655
(5.715,0.094,-5.768) - 0.655
(5.670,0.086,-5.635) - 0.656
(14.475,0.328,-3.818) - 0.656
(20.800,0.105,-6.217) - 0.656
(16.002,0.129,-8.282) - 0.657
(13.467,0.440,-4.085) - 0.657
(20.777,0.200,-6.227) - 0.658
(5.736,0.022,-5.831) - 0.658
(20.670,0.250,-6.185) - 0.658
(20.661,0.192,-6.157) - 0.659
(19.613,0.045,-3.115) - 0.659
(13.378,0.386,-3.826) - 0.659
(19.494,0.042,-2.767) - 0.660
(14.427,0.358,-3.676) - 0.660
(19.501,0.100,-2.787) - 0.660
(13.322,0.205,-3.660) - 0.660
(19.570,0.190,-2.988) - 0.661
(5.652,0.064,-5.583) - 0.662
(15.821,0.550,-7.753) - 0.663
(19.526,0.182,-2.858) - 0.663
(5.645,0.005,-5.563) - 0.664
(16.009,0.035,-8.303) - 0.664
(14.316,0.011,-3.353) - 0.664
(19.543,0.206,-2.908) - 0.665
(14.523,0.245,-3.958) - 0.665
(13.559,0.309,-4.351) - 0.665
(14.346,0.248,-3.441) - 0.665
(15.995,0.227,-8.262) - 0.666
(15.709,0.409,-7.426) - 0.667
(14.512,0.283,-3.926) - 0.667
(20.651,0.135,-6.128) - 0.667
(19.508,0.161,-2.807) - 0.667
(5.743,0.082,-5.852) - 0.667
(14.553,0.077,-4.043) - 0.667
(13.411,0.441,-3.921) - 0.668
(20.679,0.313,-6.210) - 0.668
(19.625,0.009,-3.149) - 0.668
(15.881,0.535,-7.929) - 0.668
(20.764,0.084,-6.174) - 0.668
(13.433,0.456,-3.985) - 0.669
(15.794,0.546,-7.674) - 0.669
(19.609,0.142,-3.102) - 0.669
(14.535,0.210,-3.993) - 0.669
